                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260107"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                num_zones                                 star_age                            time_step_sec                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                             kh_timescale                              effective_T                                 log_Teff                                    log_L                                    log_R                                radius_cm                                 log_R_cm                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                             max_tau_conv                              num_retries                                num_iters 
                                       1                                      891                  1.0000000000000001E-005                  3.1557600000000002E+002                 -4.9999999999999991E+000                  1.1154486247277382E+000                  3.3345955482729458E+001                 -9.9999999999999982E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.9999999999353706E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808003789E-001                  8.7444820893756286E-008                  9.7933007934810945E-001                  9.7835361620666317E-001                 -2.5978622810088115E+001                 -2.6742016777545018E+001                 -1.4353023701821778E+001                 -1.4353023701820574E+001                 -2.5978940364093983E+001                 -2.9114748293084528E+001                 -2.6742016777545018E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277382E+000                  1.1154421505898482E+000                  1.0422561901036327E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2815425252178162E+010                  3.7312385735234653E+004                  4.5718530185000290E+000                 -1.1400889167596022E+000                 -2.1910973345153626E+000                  4.4804812976855671E+008                  8.6513246688422871E+000                  8.8677118687026475E+000                  2.4137551639775656E-007                  7.6785490771760374E+000                  7.9264987653878869E+000                  2.5220844335067898E+001                  2.5220844335067898E+001                  7.9264987653878869E+000                  7.6785490771760374E+000                  1.8029458074598383E+000                  4.9904376340038503E-001                  1.7984292495381059E+001                  0.0000000000000000E+000                  2.0427653556212443E-022                  3.8204556322864368E-002                  4.0072947425570682E-001                  2.8597369023935329E-010                  7.6767744422788395E-010                  6.9999999999999994E-016                  1.8549978128967651E-005                  1.6862794827630705E+003                                        0                                        5 
                                       5                                      923                  7.4416000000000014E-005                  6.5437839359999998E+002                 -4.6832750158095005E+000                  1.1154486247277446E+000                  3.3345955482729465E+001                 -9.9999999999999982E+000                  1.9508037389583308E-007                  1.0000000000000000E+000                  9.9999999999459821E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0035224808003378E-001                  8.7444818563232627E-008                  9.7933007934810490E-001                  9.7835361620665862E-001                 -2.5978451568355965E+001                 -2.6742026944749639E+001                 -1.4353029862016291E+001                 -1.4353029862015084E+001                 -2.5978882512122841E+001                 -2.8982030730215698E+001                 -2.6742026944749639E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277446E+000                  1.1154421505898493E+000                  1.0422561901036342E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.7273766996177452E+010                  3.6677824312051736E+004                  4.5644035658939863E+000                 -1.1698744818728692E+000                 -2.1910912118599097E+000                  4.4805444636657077E+008                  8.6513307914977382E+000                  8.8676996233917453E+000                  1.6485286536389577E-006                  7.6785552983169509E+000                  7.9264992919577049E+000                  2.5220845069540569E+001                  2.5220845069540569E+001                  7.9264992919577049E+000                  7.6785552983169509E+000                  1.8029458075715159E+000                  4.9904376339984019E-001                  1.7984292506316752E+001                  0.0000000000000000E+000                  2.0427685343593057E-022                  3.8204555750540145E-002                  4.0072947307457635E-001                  2.1278985205876656E-009                  5.7126296450615570E-009                  5.2091199999999989E-015                  1.8549978130771035E-005                  4.3046861326448515E+005                                        0                                        6 
                                      10                                      932                  2.5958682111999997E-004                  1.6283028443627516E+003                 -4.2873687855713758E+000                  1.1154486247277633E+000                  3.3345955482729472E+001                 -9.9999999999999982E+000                  3.9015767802571400E-007                  1.7488964753892936E-007                  8.7444815385870985E-008                  1.0000000000000000E+000                  9.9999999999824363E-001                  9.0035224808001846E-001                  8.7444815385870985E-008                  9.7933007934808736E-001                  9.7835361620664107E-001                 -2.5977959751774755E+001                 -2.6742032926813767E+001                 -1.4353033485239834E+001                 -1.4353033485238626E+001                 -2.5978374457330343E+001                 -2.8998211545939242E+001                 -2.6742032926813767E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277633E+000                  1.1154421505898477E+000                  1.0422561901036334E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5757882440853653E+010                  3.6884838312818982E+004                  4.5668478840393645E+000                 -1.1600167728493440E+000                 -2.1910509936389038E+000                  4.4809594076242447E+008                  8.6513710097187442E+000                  8.8676191869497405E+000                  3.7117256317516201E-006                  7.6785577986405293E+000                  7.9264993240148121E+000                  2.5220845117757953E+001                  2.5220845117757953E+001                  7.9264993240148121E+000                  7.6785577986405293E+000                  1.8029458077603575E+000                  4.9904376339891882E-001                  1.7984292524808406E+001                  0.0000000000000000E+000                  2.0427739093598774E-022                  3.8204554782771856E-002                  4.0072947107735057E-001                  7.4227009555863298E-009                  1.9927403517768926E-008                  1.8171077478400009E-014                  1.8549978135955076E-005                  5.6759540004316217E+005                                        0                                        7 
                                      15                                      939                  7.2035107872931814E-004                  4.0517385336847215E+003                 -3.8914625553332525E+000                  1.1154486247278097E+000                  3.3345955482729487E+001                 -9.9999999999999982E+000                  3.9016088396386629E-007                  1.7488964945227327E-007                  8.7444817299219111E-008                  1.0000000000000000E+000                  9.9999999999992928E-001                  9.0035224807998337E-001                  8.7444817299219111E-008                  9.7933007934804861E-001                  9.7835361620660244E-001                 -2.5978043552645676E+001                 -2.6742032928060663E+001                 -1.4353033482180482E+001                 -1.4353033482179276E+001                 -2.5978374632813669E+001                 -2.9096060226620494E+001                 -2.6742032928060663E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277227E+000                  1.1154421505898484E+000                  1.0422561901036353E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7819866236261429E+010                  3.8086176926929082E+004                  4.5807673805667504E+000                 -1.1042102862564642E+000                 -2.1909867433972363E+000                  4.4816223771858925E+008                  8.6514352599604116E+000                  8.8674906864664234E+000                  9.7996701438631725E-007                  7.6785549649795914E+000                  7.9264993274244402E+000                  2.5220845117758444E+001                  2.5220845117758444E+001                  7.9264993274244402E+000                  7.6785549649795914E+000                  1.8029458077603580E+000                  4.9904376339891882E-001                  1.7984292524808460E+001                  0.0000000000000000E+000                  2.0427739093751200E-022                  3.8204554782768900E-002                  4.0072947107734447E-001                  2.0597789809179289E-008                  5.5298111132603149E-008                  5.0424575511052245E-014                  1.8549978148854992E-005                  7.7585589181354817E+002                                        0                                        8 
                                      20                                      941                  1.8668799962237366E-003                  1.0082022028138364E+004                 -3.4955563250951283E+000                  1.1154486247279243E+000                  3.3345955482729529E+001                 -9.9999999999999982E+000                  3.9010921587405838E-007                  1.7488964602024542E-007                  8.7444813867190899E-008                  1.0000000000000000E+000                  9.9999999999991185E-001                  9.0035224807988845E-001                  8.7444813867190899E-008                  9.7933007934794558E-001                  9.7835361620649952E-001                 -2.5978475438551644E+001                 -2.6742032931492325E+001                 -1.4353033474888784E+001                 -1.4353033474887578E+001                 -2.5978663045649220E+001                 -2.9343104285386900E+001                 -2.6742032931492325E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277011E+000                  1.1154421505898466E+000                  1.0422561901036329E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7507255493670334E+010                  3.8134366011626240E+004                  4.5813165305872978E+000                 -1.1019084588829404E+000                 -2.1909341297515699E+000                  4.4821653469566643E+008                  8.6514878736060794E+000                  8.8673854591751358E+000                  2.4326442059580040E-007                  7.6785559274845294E+000                  7.9264993262656365E+000                  2.5220845117757314E+001                  2.5220845117757314E+001                  7.9264993262656365E+000                  7.6785559274845294E+000                  1.8029458077603588E+000                  4.9904376339891887E-001                  1.7984292524808566E+001                  0.0000000000000000E+000                  2.0427739094031254E-022                  3.8204554782763300E-002                  4.0072947107733303E-001                  5.3381169086431987E-008                  1.4331052121405109E-007                  1.3068159973566167E-013                  1.8549978180954562E-005                  3.7642916686065942E+006                                        0                                        6 
                                      25                                      947                  4.7198108322034473E-003                  2.5087297053057249E+004                 -3.0996500948570040E+000                  1.1154486247282094E+000                  3.3345955482729643E+001                 -9.9999999999999982E+000                  3.9016088052078975E-007                  1.7488964636545426E-007                  8.7444814212412821E-008                  1.0000000000000000E+000                  9.9999999999983469E-001                  9.0035224807965875E-001                  8.7444814212412821E-008                  9.7933007934769600E-001                  9.7835361620625017E-001                 -2.5976656836935724E+001                 -2.6742032940301016E+001                 -1.4353033456937590E+001                 -1.4353033456936378E+001                 -2.5976691907345177E+001                 -3.0069517846934943E+001                 -2.6742032940301016E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277053E+000                  1.1154421505898480E+000                  1.0422561901036334E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7431663422516022E+010                  3.8143716057647587E+004                  4.5814230008419976E+000                 -1.1013856675833436E+000                 -2.1908856746111702E+000                  4.4826654593838638E+008                  8.6515363287464790E+000                  8.8672885488944484E+000                  7.9828857133987209E-008                  7.6785561145073586E+000                  7.9264993260418635E+000                  2.5220845117759033E+001                  2.5220845117759033E+001                  7.9264993260418635E+000                  7.6785561145073586E+000                  1.8029458077603620E+000                  4.9904376339891882E-001                  1.7984292524808836E+001                  0.0000000000000000E+000                  2.0427739094758575E-022                  3.8204554782748854E-002                  4.0072947107730317E-001                  1.3495387282537560E-007                  3.6230595155718917E-007                  3.3038675825424132E-013                  1.8549978260828340E-005                  4.9163944281814399E+005                                        0                                        4 
                                      30                                      963                  1.1818815689988481E-002                  6.2425223003063409E+004                 -2.7037438646188803E+000                  1.1154486247289195E+000                  3.3345955482729920E+001                 -9.9999999999999982E+000                  3.9016088098620153E-007                  1.7488964678258463E-007                  8.7444814629598809E-008                  1.0000000000000000E+000                  9.9999999999981337E-001                  9.0035224807908609E-001                  8.7444814629598809E-008                  9.7933007934707206E-001                  9.7835361620562677E-001                 -2.5754235523489012E+001                 -2.6742032962411720E+001                 -1.4353033412476849E+001                 -1.4353033412474948E+001                 -2.5754236868999548E+001                 -3.1263133404188100E+001                 -2.6742032962411720E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247277025E+000                  1.1154421505898466E+000                  1.0422561901036338E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7374243426280617E+010                  3.8149219561516955E+004                  4.5814856577930332E+000                 -1.1010125093421235E+000                 -2.1908244093926315E+000                  4.4832978663387531E+008                  8.6515975939650165E+000                  8.8671660184576453E+000                  3.4326257907079217E-008                  7.6785567694559500E+000                  7.9264993252575291E+000                  2.5220845117764100E+001                  2.5220845117764100E+001                  7.9264993252575291E+000                  7.6785567694559500E+000                  1.8029458077603693E+000                  4.9904376339891898E-001                  1.7984292524809593E+001                  0.0000000000000000E+000                  2.0427739096758291E-022                  3.8204554782709461E-002                  4.0072947107722195E-001                  3.3791531368689707E-007                  9.0718954677033767E-007                  8.2731709829919316E-013                  1.8549978459579881E-005                  5.5527751885845745E+005                                        0                                        4 
                                      35                                      971                  2.9483411457712130E-002                  1.5533393090298268E+005                 -2.3078376343807561E+000                  1.1154486247306861E+000                  3.3345955482730609E+001                 -9.9999999999999982E+000                  3.9016088019377187E-007                  1.7488964607189442E-007                  8.7444813919047156E-008                  1.0000000000000000E+000                  9.9999999999981304E-001                  9.0035224807766001E-001                  8.7444813919047156E-008                  9.7933007934552119E-001                  9.7835361620407746E-001                 -2.4324195141341676E+001                 -2.6742033016983001E+001                 -1.4353033301945940E+001                 -1.4353033301899352E+001                 -2.4324195141444793E+001                 -3.3948648837233790E+001                 -2.6742033016983001E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247276778E+000                  1.1154421505898477E+000                  1.0422561901036336E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7301229675906151E+010                  3.8156552992241152E+004                  4.5815691342693246E+000                 -1.1005325208836871E+000                 -2.1907513681159969E+000                  4.4840519476179200E+008                  8.6516706352416524E+000                  8.8670199359050645E+000                  1.2136015419823354E-008                  7.6785562069338233E+000                  7.9264993259421015E+000                  2.5220845117774736E+001                  2.5220845117774736E+001                  7.9264993259421015E+000                  7.6785562069338233E+000                  1.8029458077603893E+000                  4.9904376339891870E-001                  1.7984292524811544E+001                  0.0000000000000000E+000                  2.0427739101959327E-022                  3.8204554782607376E-002                  4.0072947107701129E-001                  8.4283969159937416E-007                  2.2627426468068445E-006                  2.0638388020398528E-012                  1.8549978954137326E-005                  4.1163816949916822E+004                                        0                                        4 
                                      40                                      971                  7.3438578398454232E-002                  3.8652052694450982E+005                 -1.9119314041426323E+000                  1.1154486247350817E+000                  3.3345955482732322E+001                 -9.9999999999999982E+000                  3.8849568163871956E-007                  1.7488964685864403E-007                  8.7444814706141352E-008                  1.0000000000000000E+000                  9.9999999999981359E-001                  9.0035224807411285E-001                  8.7444814706141352E-008                  9.7933007934166338E-001                  9.7835361620022354E-001                 -2.2645079722883011E+001                 -2.6742033148462582E+001                 -1.4353033026424873E+001                 -1.4353033024207839E+001                 -2.2645079722883011E+001                 -3.9427805282073408E+001                 -2.6742033148462582E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1154486247276818E+000                  1.1154421505898484E+000                  1.0422561901036347E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7216164962866852E+010                  3.8164878132893347E+004                  4.5816638799418667E+000                 -1.0999760619551335E+000                 -2.1906626299968033E+000                  4.4849682544260091E+008                  8.6517593733608447E+000                  8.8668424596683888E+000                  2.3997166858520173E-011                  7.6785570492265425E+000                  7.9264993249497309E+000                  2.5220845117803691E+001                  2.5220845117803691E+001                  7.9264993249497309E+000                  7.6785570492265425E+000                  1.8029458077604392E+000                  4.9904376339891848E-001                  1.7984292524816450E+001                  0.0000000000000000E+000                  2.0427739115056436E-022                  3.8204554782350582E-002                  4.0072947107648133E-001                  2.0985808841137712E-006                  5.6339878090903487E-006                  5.1407004878917205E-012                  1.8549980184754548E-005                  6.4870489005944622E+005                                        0                                        4 
