run,M_initial_Msun,M_final_Msun,Delta_M_Msun,Integrated_mdot_Msun,t_start_yr,t_end_yr
mdot1e-10,1.1154486247277382,1.115450120337252,-1.4956095137907965e-06,-2616201.373924987,1e-05,261620.41751077972
mdot1e-8,1.1154486247277873,1.11545013808063,-1.5133528428190601e-06,-13662.610804420216,5e-06,1708.0515697873357
mdot1e-9,1.1154486247277422,1.1154501187667183,-1.4940389760909056e-06,-222486.55147859105,5e-06,24720.97809150898
